year,reporter_code,reporter,partner_code,partner,commodity_code,commodity,trade_value_usd,net_weight_kg,edge_weight,log_trade_value
2023,156,China,842,USA,TOTAL,All Commodities,501220722660.0,0.0,501220722660.0,26.940312405204978
2023,156,China,276,Germany,TOTAL,All Commodities,100565204356.0,0.0,100565204356.0,25.33407215363823
2023,156,China,392,Japan,TOTAL,All Commodities,157499979155.0,0.0,157499979155.0,25.782691162869234
2023,156,China,704,Viet Nam,TOTAL,All Commodities,137607205249.0,0.0,137607205249.0,25.647669124810186
2023,156,China,410,Rep. of Korea,TOTAL,All Commodities,148982810996.0,0.0,148982810996.0,25.72709677380087
2023,156,China,528,Netherlands,TOTAL,All Commodities,100195459698.0,0.0,100195459698.0,25.330388712185307
2023,156,China,643,Russian Federation,TOTAL,All Commodities,110935409106.0,0.0,110935409106.0,25.432213968952333
2023,156,China,826,United Kingdom,TOTAL,All Commodities,77911448112.0,0.0,77911448112.0,25.07883873811426
2023,156,China,702,Singapore,TOTAL,All Commodities,76945384255.0,0.0,76945384255.0,25.066361711754492
2023,156,China,36,Australia,TOTAL,All Commodities,73814238179.0,0.0,73814238179.0,25.024817479212672
2023,156,China,76,Brazil,TOTAL,All Commodities,59105409511.0,0.0,59105409511.0,24.802588288675633
2023,156,China,124,Canada,TOTAL,All Commodities,45074269772.0,0.0,45074269772.0,24.531577405638345
2023,156,China,784,United Arab Emirates,TOTAL,All Commodities,55683130074.0,0.0,55683130074.0,24.74294306681999
2023,156,China,360,Indonesia,TOTAL,All Commodities,65195769414.0,0.0,65195769414.0,24.900660417500806
2023,156,China,458,Malaysia,TOTAL,All Commodities,87369777322.0,0.0,87369777322.0,25.193415262586576
2023,156,China,764,Thailand,TOTAL,All Commodities,75732738143.0,0.0,75732738143.0,25.05047637608033
2023,156,China,380,Italy,TOTAL,All Commodities,44522402808.0,0.0,44522402808.0,24.519258333348382
2023,156,China,484,Mexico,TOTAL,All Commodities,81463411165.0,0.0,81463411165.0,25.123419813639796
