year,reporter_code,reporter,partner_code,partner,commodity_code,commodity,trade_value_usd,net_weight_kg
2023,156,China,842,USA,TOTAL,All Commodities,501220722660.0,0.0
2023,156,China,276,Germany,TOTAL,All Commodities,100565204356.0,0.0
2023,156,China,392,Japan,TOTAL,All Commodities,157499979155.0,0.0
2023,156,China,704,Viet Nam,TOTAL,All Commodities,137607205249.0,0.0
2023,156,China,410,Rep. of Korea,TOTAL,All Commodities,148982810996.0,0.0
2023,156,China,528,Netherlands,TOTAL,All Commodities,100195459698.0,0.0
2023,156,China,643,Russian Federation,TOTAL,All Commodities,110935409106.0,0.0
2023,156,China,826,United Kingdom,TOTAL,All Commodities,77911448112.0,0.0
2023,156,China,702,Singapore,TOTAL,All Commodities,76945384255.0,0.0
2023,156,China,36,Australia,TOTAL,All Commodities,73814238179.0,0.0
2023,156,China,76,Brazil,TOTAL,All Commodities,59105409511.0,0.0
2023,156,China,124,Canada,TOTAL,All Commodities,45074269772.0,0.0
2023,156,China,784,United Arab Emirates,TOTAL,All Commodities,55683130074.0,0.0
2023,156,China,360,Indonesia,TOTAL,All Commodities,65195769414.0,0.0
2023,156,China,458,Malaysia,TOTAL,All Commodities,87369777322.0,0.0
2023,156,China,764,Thailand,TOTAL,All Commodities,75732738143.0,0.0
2023,156,China,380,Italy,TOTAL,All Commodities,44522402808.0,0.0
2023,156,China,484,Mexico,TOTAL,All Commodities,81463411165.0,0.0
